channel_index,phase_index,phase_time,phase_score,phase_type
229,1233,2025-04-23T12:32:42.330,0.334,S
229,1246,2025-04-23T12:32:42.460,0.910,P
229,1254,2025-04-23T12:32:42.540,0.734,S
229,1262,2025-04-23T12:32:42.620,0.328,P
229,1273,2025-04-23T12:32:42.730,0.492,S
230,1219,2025-04-23T12:32:42.190,0.322,S
230,1233,2025-04-23T12:32:42.330,0.334,S
230,1246,2025-04-23T12:32:42.460,0.910,P
230,1254,2025-04-23T12:32:42.540,0.730,S
230,1262,2025-04-23T12:32:42.620,0.328,P
230,1274,2025-04-23T12:32:42.740,0.508,S
231,1219,2025-04-23T12:32:42.190,0.328,S
231,1233,2025-04-23T12:32:42.330,0.334,S
231,1246,2025-04-23T12:32:42.460,0.910,P
231,1254,2025-04-23T12:32:42.540,0.727,S
231,1262,2025-04-23T12:32:42.620,0.328,P
231,1274,2025-04-23T12:32:42.740,0.523,S
232,1219,2025-04-23T12:32:42.190,0.330,S
232,1233,2025-04-23T12:32:42.330,0.334,S
232,1246,2025-04-23T12:32:42.460,0.910,P
232,1254,2025-04-23T12:32:42.540,0.730,S
232,1262,2025-04-23T12:32:42.620,0.328,P
232,1274,2025-04-23T12:32:42.740,0.520,S
233,1219,2025-04-23T12:32:42.190,0.330,S
233,1233,2025-04-23T12:32:42.330,0.334,S
233,1246,2025-04-23T12:32:42.460,0.910,P
233,1253,2025-04-23T12:32:42.530,0.734,S
233,1263,2025-04-23T12:32:42.630,0.328,P
233,1274,2025-04-23T12:32:42.740,0.504,S
234,1218,2025-04-23T12:32:42.180,0.332,S
234,1226,2025-04-23T12:32:42.260,0.361,P
234,1233,2025-04-23T12:32:42.330,0.334,S
234,1246,2025-04-23T12:32:42.460,0.906,P
234,1253,2025-04-23T12:32:42.530,0.742,S
234,1263,2025-04-23T12:32:42.630,0.328,P
234,1274,2025-04-23T12:32:42.740,0.479,S
235,1217,2025-04-23T12:32:42.170,0.336,S
235,1226,2025-04-23T12:32:42.260,0.363,P
235,1233,2025-04-23T12:32:42.330,0.334,S
235,1246,2025-04-23T12:32:42.460,0.906,P
235,1253,2025-04-23T12:32:42.530,0.754,S
235,1264,2025-04-23T12:32:42.640,0.328,P
235,1274,2025-04-23T12:32:42.740,0.447,S
236,1217,2025-04-23T12:32:42.170,0.342,S
236,1225,2025-04-23T12:32:42.250,0.361,P
236,1233,2025-04-23T12:32:42.330,0.334,S
236,1246,2025-04-23T12:32:42.460,0.906,P
236,1253,2025-04-23T12:32:42.530,0.758,S
236,1264,2025-04-23T12:32:42.640,0.328,P
236,1274,2025-04-23T12:32:42.740,0.424,S
237,1217,2025-04-23T12:32:42.170,0.344,S
237,1225,2025-04-23T12:32:42.250,0.357,P
237,1233,2025-04-23T12:32:42.330,0.334,S
237,1246,2025-04-23T12:32:42.460,0.910,P
